Term,Session,AcadGroup,ClassNbr,Subject,CatalogNbr,Section,CourseTitle,Component,Codes,M,T,W,TH,F,S,SU,StartDate,EndDate,Time,Location,Instructor,Total,SeatsRemaining,HasWL,Units
Fall 2020,Regular Academic Session,Architecture & Urban Planning,27076,Architecture (ARCH) Open Sections,202,2,Graphic Commun,LAB,P  ,,T,,TH,,,,08/31/2020,12/8/20,130-430PM,B100 MLB,,19,1,N,4
Fall 2020,Regular Academic Session,Architecture & Urban Planning,30854,Architecture (ARCH) Open Sections,209,1,Special Topics Arch,LEC,P R,,T,,,,,,08/31/2020,12/8/20,830-1130AM,1360 A&AB,Trandafirescu,31,2,N,3.00-4.00
Fall 2020,Regular Academic Session,Architecture & Urban Planning,34890,Architecture (ARCH) Open Sections,209,3,Special Topics Arch,LEC,P R,,T,,TH,,,,08/31/2020,12/10/20,1-230PM,1518 NUB,Zimmerman,15,2,Y,3.00-4.00
Fall 2020,Regular Academic Session,Architecture & Urban Planning,21094,Architecture (ARCH) Open Sections,218,1,Visual Studies,LAB,P  ,,T,,TH,,,,08/31/2020,12/8/20,10-1PM,REMOTE,,19,3,N,5
Fall 2020,Regular Academic Session,Architecture & Urban Planning,37224,Architecture (ARCH) Open Sections,302,1,SU Int Tran Studio,LAB,P R,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,3100 A&AB,,15,3,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10945,Architecture (ARCH) Open Sections,312,1,Arch Design I,LAB,P R,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,3100 A&AB,Trandafirescu,138,86,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39253,Architecture (ARCH) Open Sections,312,302,Arch Design I,LAB,P  ,M,,W,,F,,,08/31/2020,12/8/20,1-5PM,REMOTE,Harris,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39254,Architecture (ARCH) Open Sections,312,303,Arch Design I,LAB,P  ,,,,,,,,08/31/2020,12/8/20,ARR,REMOTE,,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39255,Architecture (ARCH) Open Sections,312,304,Arch Design I,LAB,P  ,,,,,,,,08/31/2020,12/8/20,ARR,REMOTE,,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,39256,Architecture (ARCH) Open Sections,312,305,Arch Design I,LAB,P  ,,,,,,,,08/31/2020,12/8/20,ARR,REMOTE,,1,1,N,6
Fall 2020,Regular Academic Session,Architecture & Urban Planning,17727,Architecture (ARCH) Open Sections,313,2,History Arch I,DIS,P R,,,,,F,,,08/31/2020,12/8/20,830-930AM,REMOTE,Zimmerman,25,1,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10950,Architecture (ARCH) Open Sections,313,3,History Arch I,DIS,P  ,,,,,F,,,08/31/2020,12/8/20,930-1030AM,REMOTE,Zimmerman,25,1,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10951,Architecture (ARCH) Open Sections,313,5,History Arch I,DIS,P R,,,,,F,,,08/31/2020,12/8/20,830-930AM,REMOTE,Zimmerman,25,13,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10952,Architecture (ARCH) Open Sections,313,6,History Arch I,DIS,P  ,,,,,F,,,08/31/2020,12/8/20,930-1030AM,REMOTE,Zimmerman,25,14,N,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10949,Architecture (ARCH) Open Sections,313,1,History Arch I,LEC,A  ,M,,W,,,,,08/31/2020,12/8/20,830-930AM,REMOTE,Zimmerman, , , ,3
Fall 2020,Regular Academic Session,Architecture & Urban Planning,10954,Architecture (ARCH) Open Sections,314,2,Structures I,REC,P R,,,W,,,,,08/31/2020,12/8/20,930-1030AM,REMOTE,,175,89,N,3
